date,NEX-GDDP__ACCESS-CM2,NEX-GDDP__ACCESS-ESM1-5,NEX-GDDP__BCC-CSM2-MR,NEX-GDDP__CMCC-CM2-SR5,NEX-GDDP__CMCC-ESM2,NEX-GDDP__CNRM-CM6-1,NEX-GDDP__CNRM-ESM2-1,NEX-GDDP__CanESM5,NEX-GDDP__EC-Earth3-Veg-LR,NEX-GDDP__EC-Earth3,NEX-GDDP__FGOALS-g3,NEX-GDDP__GFDL-CM4,NEX-GDDP__GFDL-ESM4,NEX-GDDP__GISS-E2-1-G,NEX-GDDP__HadGEM3-GC31-LL,NEX-GDDP__INM-CM4-8,NEX-GDDP__INM-CM5-0,NEX-GDDP__IPSL-CM6A-LR,NEX-GDDP__KACE-1-0-G,NEX-GDDP__KIOST-ESM,NEX-GDDP__MIROC-ES2L,NEX-GDDP__MIROC6,NEX-GDDP__MPI-ESM1-2-HR,NEX-GDDP__MPI-ESM1-2-LR,NEX-GDDP__MRI-ESM2-0,NEX-GDDP__NESM3,NEX-GDDP__NorESM2-LM,NEX-GDDP__NorESM2-MM,NEX-GDDP__TaiESM1,NEX-GDDP__UKESM1-0-LL,CIL-GDPCIR__ACCESS-CM2,CIL-GDPCIR__ACCESS-ESM1-5,CIL-GDPCIR__BCC-CSM2-MR,CIL-GDPCIR__CMCC-CM2-SR5,CIL-GDPCIR__CMCC-ESM2,CIL-GDPCIR__CanESM5,CIL-GDPCIR__EC-Earth3-CC,CIL-GDPCIR__EC-Earth3-Veg-LR,CIL-GDPCIR__EC-Earth3-Veg,CIL-GDPCIR__EC-Earth3,CIL-GDPCIR__FGOALS-g3,CIL-GDPCIR__GFDL-CM4,CIL-GDPCIR__GFDL-ESM4,CIL-GDPCIR__HadGEM3-GC31-LL,CIL-GDPCIR__INM-CM4-8,CIL-GDPCIR__INM-CM5-0,CIL-GDPCIR__MIROC-ES2L,CIL-GDPCIR__MIROC6,CIL-GDPCIR__MPI-ESM1-2-LR,CIL-GDPCIR__NESM3,CIL-GDPCIR__NorESM2-LM,CIL-GDPCIR__NorESM2-MM,CIL-GDPCIR__UKESM1-0-LL,EURO-CORDEX__cnrm_cerfacs_cm5_cnrm_aladin63,EURO-CORDEX__cnrm_cerfacs_cm5_knmi_racmo22e,EURO-CORDEX__cnrm_cerfacs_cm5_smhi_rca4,EURO-CORDEX__ichec_ec_earth_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_dmi_hirham5,EURO-CORDEX__mohc_hadgem2_es_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_smhi_rca4,EURO-CORDEX__mpi_m_mpi_esm_lr_smhi_rca4,EURO-CORDEX__ncc_noresm1_m_dmi_hirham5,EURO-CORDEX__ncc_noresm1_m_gerics_remo2015,EURO-CORDEX__ncc_noresm1_m_smhi_rca4
2000-06-11,24.0653,20.0478,19.8115,23.3731,25.8125,17.1085,18.1167,17.8629,22.7284,20.8538,20.0387,18.4206,18.6239,19.8486,23.7068,22.4722,20.9280,19.9005,28.0029,23.6469,18.4931,21.1697,17.9255,21.9805,23.8930,24.1550,25.9135,25.2812,26.7515,18.9492,23.9406,19.9511,20.2660,23.2482,25.4702,17.6604,16.7774,22.4545,19.2533,20.5850,27.1528,18.1074,19.1744,23.1740,22.6290,21.0363,18.4945,20.9480,22.4125,25.2803,25.9379,24.9082,19.5518,,,,,,,,,,,
2000-06-12,25.9052,16.6875,20.4265,23.4980,26.7955,16.0757,17.7212,18.0283,23.3829,25.1054,18.5033,19.8775,17.4588,19.3592,21.5527,23.1996,22.7710,22.6879,26.9876,24.4135,18.6956,20.4377,18.7195,21.6816,23.5223,27.3899,26.5934,25.5245,28.7394,19.8641,26.0124,16.3827,20.8210,23.5276,26.6841,18.0416,16.3238,23.1143,17.8464,24.8691,27.6424,19.6753,17.7793,24.0475,23.4438,23.1199,18.4408,20.6105,22.4817,28.3413,25.3900,25.2883,18.5571,,,,,,,,,,,
2000-06-13,26.2865,14.1617,20.7358,25.1227,23.4132,16.1685,18.9619,16.6103,25.7229,27.3148,16.2081,20.5792,17.6603,17.4783,20.3198,24.0120,24.3688,21.4335,27.9298,25.3491,19.5264,20.8991,20.3803,18.6366,23.3045,24.6645,23.2859,26.7833,24.3848,21.8319,26.0793,13.4782,21.3394,25.1664,23.5361,16.3771,17.2834,25.6574,17.1060,27.0952,27.5837,20.6017,18.0754,21.9322,24.1209,25.1496,19.1715,20.5433,18.9405,25.4280,23.6105,26.7189,19.6987,,,,,,,,,,,
2000-06-14,23.5356,13.1872,22.7306,24.4729,21.8280,15.3806,20.5651,16.6435,27.5562,28.2238,15.1375,22.3821,18.8092,15.2814,18.5239,25.4180,25.1355,20.3300,29.1218,26.7579,21.2660,23.6565,22.5298,17.2919,23.0277,20.1419,21.5349,26.5529,19.7926,20.3755,23.3673,12.2336,23.8125,24.2519,21.8449,16.3594,18.3321,27.3327,17.3311,27.8066,26.6039,22.6147,19.2063,20.6792,25.5872,26.0870,21.3348,22.9333,17.5077,20.4885,21.6558,26.2934,22.2326,,,,,,,,,,,
2000-06-15,22.8978,15.8461,24.8539,19.3513,23.1268,15.2833,20.1989,16.5874,21.5640,30.2635,16.0663,20.1970,18.3511,13.9018,16.3034,26.4395,24.4810,19.6983,30.3520,28.4982,23.3077,25.2897,22.7545,16.8225,24.2094,20.1997,24.2457,24.8135,20.8161,19.5915,22.5822,15.1985,25.7492,19.1903,23.0338,16.2211,21.2622,21.6067,19.0992,29.3492,24.3681,20.0145,18.7099,18.6473,26.7280,25.4829,23.1742,24.5984,16.9341,20.2503,24.1187,24.4624,20.3530,,,,,,,,,,,
2000-06-16,21.5662,17.2181,25.2495,16.9205,21.6410,16.2402,19.0504,16.7107,23.9494,30.8786,18.1573,17.9987,21.0359,14.0960,15.0497,26.9244,22.3989,19.8231,27.1784,28.6805,25.5558,25.0351,24.5627,18.0695,25.6207,22.9923,24.4576,22.2876,23.2107,20.5585,21.2631,16.6539,26.1420,16.4916,21.5461,16.3936,17.6874,23.9987,20.5233,29.6549,21.1872,17.5354,21.6146,16.1120,26.8565,22.7350,25.1986,24.5127,18.3217,23.4672,23.9058,21.6620,19.3572,,,,,,,,,,,
2000-06-17,23.2321,18.3718,21.8271,17.3191,20.2004,14.4582,19.2763,18.6984,24.2957,30.6294,19.0780,17.8728,22.4102,15.1674,16.5200,27.6566,21.7239,19.3107,28.3043,24.1034,22.2096,24.2391,22.1097,21.2202,25.3712,26.2685,20.4706,21.0529,25.7712,21.4206,22.7380,17.6574,22.5990,16.7435,20.1468,18.4285,17.3883,24.5292,18.3889,29.0140,20.1633,17.4985,22.9121,14.8562,27.3911,21.7704,22.0154,23.7366,21.8926,26.7614,20.1339,20.2814,20.7470,,,,,,,,,,,
2000-06-18,23.8358,19.3356,19.8752,17.9661,19.7267,14.8542,20.6595,19.4406,21.7549,23.9889,20.4309,19.8535,23.2425,17.4227,17.6475,27.8594,23.2617,17.1911,25.8811,24.5121,20.7841,20.6258,20.5566,19.9525,26.6710,29.0640,19.0268,22.2455,24.4185,23.4813,23.4043,18.6944,20.0108,17.4856,19.5994,19.2185,17.1983,21.6194,24.0813,23.6183,19.4291,19.9209,23.7333,16.3659,27.1946,22.9890,20.2767,20.2782,20.5289,29.6239,18.7605,21.8763,21.8222,,,,,,,,,,,
2000-06-19,24.5514,20.4338,21.0164,19.9217,19.2201,15.9408,21.4074,19.9241,22.9433,22.6973,21.2366,23.0538,23.0675,19.5895,20.6906,27.4108,23.3194,15.9452,28.9803,22.8838,20.0160,19.2930,20.1559,19.9899,20.6816,31.6030,19.9735,18.8921,22.6122,26.7384,24.1828,19.8224,21.3939,19.5322,19.3436,19.8612,17.1450,22.9238,26.3399,22.6779,18.4228,23.2794,23.9646,17.5733,26.4139,22.6412,19.8760,19.2937,20.7445,31.6479,19.6849,18.6993,24.3922,,,,,,,,,,,
2000-06-20,26.0262,23.0124,23.5211,16.9494,19.3810,17.3825,22.3181,21.9184,18.7739,22.3580,20.6368,22.9958,23.9058,24.1019,22.6090,24.7580,24.3189,17.8700,27.0783,20.9234,19.7440,20.3929,22.7012,19.5072,16.5734,31.0277,23.0206,19.6469,20.7972,22.1096,25.6056,22.6942,24.0504,16.5793,19.6023,21.9110,15.7732,18.3160,27.1038,22.4369,19.1611,23.4286,25.6262,20.7144,23.8904,23.8092,19.2979,20.5021,20.1739,31.7272,22.5289,19.3930,27.6736,,,,,,,,,,,
